32681,"Argoim, BA",-12.4850589,-39.6865914
31961,"Arrojolandia, BA",-13.7304974,-45.3957512
31960,"Barreiras, BA",-12.1440031,-44.9967406
32672,"Boqueirao, BA",-11.8684505,-38.9552358
32495,"Brumado, BA",-14.2025099,-41.6701307
31020,"Buritizinho, BA",-11.214476,-43.97703
32547,"Caetite, BA",-14.0691776,-42.4852428
31963,"Coaceral, BA",-10.5556688,-45.6042976
32496,"Eunapolis, BA",-16.3766148,-39.586449
32640,"Formosa Rio Preto, BA",-11.0414544,-45.1903983
32487,"Ibiapora-Mundo Novo, BA",-12.0456035,-40.799997
32499,"Ilheus, BA",-14.792599,-39.0453843
32486,"Ipira, BA",-12.1578337,-39.7416605
32546,"Irece, BA",-11.3034965,-41.8557929
32682,"Itaete, BA",-12.9794728,-40.9661685
32677,"Itambe, BA",-15.2435245,-40.6269506
32548,"Jaguaquara, BA",-13.5294974,-39.9693081
32492,"Jequie, BA",-13.8604033,-40.0719627
32639,"Juazeiro, BA",-9.4336959,-40.5068201
32490,"Marcionilio Souza, BA",-13.0024332,-40.5317476
32491,"Milagres, BA",-12.864635,-39.861092
32680,"Monday R-5, BA",-12.2184038,-46.1692552
32642,"Morpara, BA",-11.5628341,-43.2768414
32489,"Piata, BA",-13.1535638,-41.7743761
31962,"Roda Velha, BA",-12.7568656,-45.9486489
32497,"Salvador, BA",-12.9822499,-38.4812772
32643,"Santa Maria da Vitoria, BA",-13.3901477,-44.2013167
32679,"Santo Antonio, BA",-12.9654964,-38.5036352
31025,"Sassafras, BA",-10.4031273,-45.6746574
32545,"Serrinha, BA",-11.66199,-39.0034021
31024,"Sitio do Rio Branco, BA",-9.9630577,-67.4969408
32488,"Souto Soares, BA",-12.0878456,-41.6495346
32498,"Teixeira de Freitas, BA",-17.5384774,-39.7451701
32678,"Ubaitaba, BA",-14.3117771,-39.3226605
32493,"Vitoria da Conquista, BA",-14.8567487,-40.8414804
31816,"Acarau, CE",-2.8869514,-40.1194713
31817,"Acopiara, CE",-6.0936464,-39.4543204
32674,"Acude Gaviao, CE",-3.9057891,-38.556709
31855,"Aiuaba, CE",-6.5710836,-40.1212278
32331,"Amontada, CE",-3.3634586,-39.8284791
31818,"Aracati, CE",-4.558259,-37.767894
31819,"Aracoiaba, CE",-4.3702577,-38.8084313
31820,"Araripe, CE",-7.212861,-40.1359222
32330,"Aratuba, CE",-4.4195958,-39.0463737
31821,"Assare, CE",-6.8746791,-39.8741385
31822,"Banabuiu, CE",-5.304151,-38.9197719
31823,"Barroquinha, CE",-3.0200371,-41.1339229
32323,"Beberibe, CE",-4.1810469,-38.1298101
31856,"Boa Viagem, CE",-5.1261877,-39.7300055
31824,"Camocim, CE",-2.9009918,-40.8427389
32329,"Caninde, CE",-4.3547946,-39.3108516
31825,"Carire, CE",-3.948584,-40.476028
31826,"Catarina, CE",-6.1340485,-39.8791754
32322,"Caucaia, CE",-3.7300563,-38.6593082
31827,"Cedro, CE",-6.6065382,-39.0599487
31828,"Coreau, CE",-3.5519794,-40.6528409
31829,"Crato, CE",-7.2369112,-39.4149236
32552,"Erere EB-1, CE",-6.0311304,-38.3482173
32333,"Eusebio, CE",-3.8889838,-38.4546585
32321,"Fortaleza, CE",-3.7304512,-38.5217989
31830,"Granja, CE",-3.1212057,-40.8284124
31831,"Groairas, CE",-3.9157768,-40.3855093
32551,"Horizonte EB-2, CE",-4.0964618,-38.4965574
31832,"Ibaretama, CE",-4.8194345,-38.8208476
31833,"Icapui, CE",-4.7158474,-37.3535365
31834,"Ico, CE",-6.4003992,-38.8575946
31835,"Iguatu, CE",-6.361934,-39.2972233
31858,"Independencia, CE",-5.3958538,-40.3108896
31836,"Ipu, CE",-4.3239824,-40.7097463
31837,"Iraucuba, CE",-3.7466828,-39.7840904
32470,"Itaicaba, CE",-4.68054,-37.8239968
31838,"Itapipoca, CE",-3.4960586,-39.5819197
31860,"Itatira, CE",-4.5305504,-39.6210481
32631,"Jaguaribe, CE",-5.8854585,-38.6212957
31839,"Jaguaruana, CE",-4.831508,-37.780997
31840,"Jati, CE",-7.6894344,-39.006074
31861,"Jucas, CE",-6.5224934,-39.5247183
31842,"Lavras da Mangabeira, CE",-6.7519554,-38.9634019
32326,"Maranguape, CE",-3.8922967,-38.6835427
31863,"Mauriti, CE",-7.3870095,-38.7737751
31843,"Meruoca, CE",-3.5390209,-40.4546107
31844,"Missao Velha, CE",-7.248491,-39.1434843
31845,"Mombaca, CE",-5.7450899,-39.6293519
31846,"Morada Nova, CE",-5.1076699,-38.3727852
32328,"Morada Nova 1, CE",-5.1076699,-38.3727852
31870,"Oros, CE",-6.2427541,-38.9141151
32324,"Pacajus, CE",-4.171073,-38.464988
31864,"Pedra Branca, CE",-5.455674,-39.7166286
31871,"Pentecoste, CE",-3.7950248,-39.2670733
31865,"Pereiro, CE",-6.046269,-38.4604192
31859,"Poranga, CE",-4.7446727,-40.9249168
31847,"Quixada, CE",-4.9706021,-39.0158403
31848,"Quixeramobim, CE",-5.1983553,-39.2955573
31849,"Quixere, CE",-5.0742841,-37.9892825
31862,"Russas, CE",-4.9354279,-37.9783838
31851,"Santana do Cariri, CE",-7.1861693,-39.7374262
31850,"Santa Quiteria, CE",-4.3336553,-40.1544913
31852,"Sao Benedito, CE",-4.0484353,-40.8646009
32325,"Sao Goncalo do Amarante, CE",-3.6099755,-38.9687182
31866,"Senador Pompeu, CE",-5.5874386,-39.3730901
32327,"Sobral, CE",-3.6879135,-40.3456372
31867,"Solonopole, CE",-5.7329092,-39.0098669
31853,"Tabuleiro do Norte, CE",-5.2440865,-38.1284605
31868,"Tamboril, CE",-4.8330075,-40.3210323
31872,"Tejucuoca, CE",-3.9884273,-39.5797395
31869,"Varzea Alegre, CE",-6.7936089,-39.2989333
32332,"Vicosa do Ceara, CE",-3.5667684,-41.091504
32665,"Colatina, ES",-19.5346732,-40.6287836
31001,"Ilha de Trindade 1, ES",-20.1880663,-40.2627103
31908,"Ilha de Trindade 2, ES",-20.1880663,-40.2627103
31958,"Jeronimo Monteiro, ES",-20.7881687,-41.3920954
31957,"Sooretama, ES",-19.1918129,-40.1037067
31959,"Venda Nova Imigrante, ES",-20.3325787,-41.1295842
31703,"Abadiania, GO",-16.1940946,-48.7067767
31705,"Abadiania, GO",-16.1940946,-48.7067767
