EbN0_dB	BER
0.0	3.71409722e-01
0.5	3.23225694e-01
1.0	2.66829861e-01
1.5	2.10553819e-01
2.0	1.44958333e-01
2.5	8.96579861e-02
3.0	5.32656250e-02
3.5	2.91614583e-02
4.0	1.36111111e-02
4.5	5.35937500e-03
5.0	2.71875000e-03
5.5	1.02083333e-03
6.0	4.04513889e-04
6.5	1.30208333e-04
7.0	7.46527778e-05
7.5	2.77777778e-05
8.0	5.20833333e-06
8.5	0.00000000e+00
9.0	0.00000000e+00
9.5	0.00000000e+00
10.0	0.00000000e+00
10.5	0.00000000e+00
11.0	0.00000000e+00
11.5	0.00000000e+00
